LoopOrder,MatrixSize,TimeInMicroseconds
i-j-k,2,3
i-k-j,2,3
j-i-k,2,2
j-k-i,2,2
k-i-j,2,1
k-j-i,2,2
i-j-k,4,3
i-k-j,4,2
j-i-k,4,2
j-k-i,4,2
k-i-j,4,2
k-j-i,4,3
i-j-k,8,3
i-k-j,8,3
j-i-k,8,3
j-k-i,8,4
k-i-j,8,3
k-j-i,8,3
i-j-k,16,10
i-k-j,16,5
j-i-k,16,7
j-k-i,16,9
k-i-j,16,6
k-j-i,16,9
i-j-k,25,26
i-k-j,25,12
j-i-k,25,22
j-k-i,25,33
k-i-j,25,23
k-j-i,25,47
i-j-k,32,84
i-k-j,32,31
j-i-k,32,49
j-k-i,32,59
k-i-j,32,28
k-j-i,32,59
i-j-k,40,106
i-k-j,40,38
j-i-k,40,95
j-k-i,40,113
k-i-j,40,142
k-j-i,40,113
i-j-k,50,210
i-k-j,50,74
j-i-k,50,188
j-k-i,50,218
k-i-j,50,100
k-j-i,50,217
i-j-k,64,450
i-k-j,64,149
j-i-k,64,400
j-k-i,64,455
k-i-j,64,204
k-j-i,64,512
i-j-k,80,891
i-k-j,80,285
j-i-k,80,808
j-k-i,80,887
k-i-j,80,435
k-j-i,80,938
